flight_id,callsign,icao_address,flight_number,tail_number,aircraft_type_icao,aircraft_engine_type,origin_airport,destination_airport,first_waypoint_time,last_waypoint_time,duration_hours,total_distance_km,trajectory_complete
190112-68767-AAL2190,AAL2190,AA0AAB,AA2190,N746UW,A319,Jet,KSMF,KLAX,2019-01-12 14:18:03,2019-01-12 15:24:32,1.11,672.48,True
190109-95566-AAL2218,AAL2218,ACE81D,AA2218,N93003,A319,Jet,KDFW,KSTL,2019-01-09 20:46:00,2019-01-09 22:03:01,1.28,915.54,True
190110-69529-AAL2219,AAL2219,A189A7,AA2219,N199AN,B752,Jet,KMIA,TNCM,2019-01-10 17:33:37,2019-01-10 19:57:08,2.39,2027.05,True
190108-82637-AAL2260,AAL2260,AC5569,AA2260,N894NN,B738,Jet,KBOS,KPHX,2019-01-08 11:31:04,2019-01-08 17:08:29,5.62,3868.03,True
190109-48628-AAL2268,AAL2268,A15ABA,AA2268,N187AN,B752,Jet,KJFK,KMIA,2019-01-09 11:34:45,2019-01-09 14:09:57,2.59,1815.59,True
190113-45822-AAL2280,AAL2280,ADC8E7,AA2280,N988AL,A321,Jet,KMIA,KSFO,2019-01-13 03:13:57,2019-01-13 08:20:56,5.12,4177.69,True
190109-61677-AAL2304,AAL2304,AC8CE5,AA2304,N908AA,A321,Jet,KDCA,KORD,2019-01-09 12:59:56,2019-01-09 14:41:52,1.7,1027.09,True
190108-83265-AAL2308,AAL2308,AC90A7,AA2308,N909AM,A321,Jet,KDFW,KSMF,2019-01-08 18:00:38,2019-01-08 21:15:48,3.25,2333.41,True
190110-32234-AAL2318,AAL2318,AB5C12,AA2318,N831AA,B789,Jet,KDFW,KLAX,2019-01-10 00:00:09,2019-01-10 02:48:18,2.8,2007.05,True
190115-18296-AAL2318,AAL2318,AB4AE9,AA2318,N827AN,B789,Jet,KDFW,KLAX,2019-01-14 23:59:20,2019-01-15 03:03:36,3.07,2083.06,True
190108-85776-AAL2384,AAL2384,ADE8FA,AA2384,N996AN,A321,Jet,KORD,KBOS,2019-01-08 13:26:35,2019-01-08 15:10:32,1.73,1440.82,True
190114-82783-AAL245,AAL245,A0F566,AA245,N161AA,A321,Jet,KLAX,KORD,2019-01-14 22:49:57,2019-01-15 02:42:43,3.88,2993.64,True
190114-82641-AAL2477,AAL2477,A0ADE2,AA2477,N143AN,A321,Jet,KDFW,KDEN,2019-01-14 20:55:29,2019-01-14 22:38:05,1.71,1145.17,True
190107-51982-AAL2498,AAL2498,A10931,AA2498,N166NN,A321,Jet,KORD,KMIA,2019-01-07 12:48:07,2019-01-07 15:20:56,2.55,2025.56,True
190109-95890-AAL250,AAL250,AD385F,AA250,N951AA,B738,Jet,KCLT,KRSW,2019-01-09 22:38:18,2019-01-09 23:58:39,1.34,1019.64,True
190107-95196-AAL2501,AAL2501,AAFBDF,AA2501,N807AA,B788,Jet,KORD,KDFW,2019-01-07 23:04:09,2019-01-08 01:06:27,2.04,1380.74,True
190110-69037-AAL2528,AAL2528,A1333B,AA2528,N177AN,B752,Jet,TIST,KPHL,2019-01-10 18:08:20,2019-01-10 21:51:36,3.72,2713.35,True
190108-63762-AAL2558,AAL2558,A0E086,AA2558,N156AN,A321,Jet,KFLL,KDFW,2019-01-08 12:44:53,2019-01-08 15:22:39,2.63,1843.68,True
190111-44784-AAL2575,AAL2575,AAB812,AA2575,N790AN,B772,Jet,KMIA,KDFW,2019-01-11 12:34:27,2019-01-11 15:21:15,2.78,1909.83,True
190108-82906-AAL2646,AAL2646,AC75A5,AA2646,N9013A,A319,Jet,KDFW,MMGL,2019-01-08 23:04:08,2019-01-09 01:08:29,2.07,1566.87,True
190114-90025-AAL27,AAL27,AB7613,AA27,N838AA,B789,Jet,KLAX,RJTT,2019-01-14 18:49:30,2019-01-15 05:45:34,10.93,8954.94,True
190114-64672-AAL2717,AAL2717,AC7968,AA2717,N9023N,A319,Jet,KMIA,KATL,2019-01-14 11:46:02,2019-01-14 13:15:57,1.5,989.0,True
190111-105416-AAL36,AAL36,AACE5C,AA36,N796AN,B772,Jet,KDFW,LEMD,2019-01-11 22:59:46,2019-01-12 07:53:44,8.9,8209.41,True
190108-82900-AAL385,AAL385,AC756C,AA385,N9011P,A319,Jet,KDFW,KSTL,2019-01-08 16:25:02,2019-01-08 17:32:09,1.12,920.79,True
190113-37458-AAL386,AAL386,A14BDE,AA386,N183AN,B752,Jet,KPHL,KMIA,2019-01-13 02:24:19,2019-01-13 04:38:02,2.23,1652.01,True
190114-62590-AAL46,AAL46,AAFFA2,AA46,N808AN,B788,Jet,KORD,EGLL,2019-01-14 04:34:37,2019-01-14 11:46:47,7.2,6371.66,True
190110-77226-AAL487,AAL487,A65B76,AA487,N509AY,A321,Jet,KPHX,KTPA,2019-01-10 17:20:11,2019-01-10 20:35:32,3.26,2973.55,True
190109-59930-AAL538,AAL538,AB7627,AA538,N838AW,A319,Jet,KMEM,KCLT,2019-01-09 11:46:10,2019-01-09 13:03:28,1.29,937.59,True
190112-75418-AAL55,AAL55,ADBB39,AA55,N984NN,B738,Jet,KORD,KCLT,2019-01-12 23:19:29,2019-01-13 00:46:26,1.45,1036.35,True
190108-64634-AAL589,AAL589,A17170,AA589,N192UW,A321,Jet,KLAS,KPHL,2019-01-08 07:31:21,2019-01-08 11:27:08,3.93,3506.12,True
190107-66198-AAL593,AAL593,ACCED9,AA593,N924US,A321,Jet,KSLC,KPHL,2019-01-07 07:04:21,2019-01-07 10:36:59,3.54,3156.83,True
190114-89425-AAL66,AAL66,AACE5C,AA66,N796AN,B772,Jet,KJFK,LEBL,2019-01-14 23:07:26,2019-01-15 06:09:31,7.03,6271.53,True
190110-71666-AAL680,AAL680,A2DCEE,AA680,N284AY,A332,Jet,KPHL,KSFO,2019-01-10 21:08:39,2019-01-11 02:43:47,5.59,4090.07,True
190109-48607-AAL695,AAL695,A15516,AA695,N185UW,A321,Jet,KCLT,KSLC,2019-01-09 02:17:03,2019-01-09 05:45:10,3.47,2776.92,True
190108-76664-AAL752,AAL752,A9653D,AA752,N704US,A319,Jet,KPWM,KCLT,2019-01-08 13:12:06,2019-01-08 15:16:51,2.08,1325.72,True
190109-83977-AAL76,AAL76,A0B199,AA76,N144AN,A321,Jet,KSFO,KDFW,2019-01-09 22:49:42,2019-01-10 01:46:51,2.95,2461.26,True
190114-84146-AAL793,AAL793,A2E813,AA793,N287AY,A332,Jet,KCLT,KPHL,2019-01-14 21:51:14,2019-01-14 23:02:41,1.19,788.55,True
190107-87328-AAL808,AAL808,A0FAF3,AA808,N162UW,A321,Jet,KDFW,KPHL,2019-01-07 22:03:00,2019-01-08 00:29:02,2.43,2175.82,True
190111-89355-AAL87,AAL87,AAE597,AA87,N801AC,B788,Jet,EGLL,KORD,2019-01-11 08:59:49,2019-01-11 16:51:02,7.85,6628.89,True
190109-84595-AAL917,AAL917,A16228,AA917,N189AN,B752,Jet,KMIA,SPJC,2019-01-09 22:50:17,2019-01-10 03:58:05,5.13,4302.45,True
190112-7313-AAL917,AAL917,A120A4,AA917,N172AJ,B752,Jet,KMIA,SPJC,2019-01-11 22:40:49,2019-01-12 03:50:24,5.16,4264.4,True
190110-32180-AAL940,AAL940,AB4732,AA940,N826AN,B789,Jet,SCEL,KDFW,2019-01-10 02:03:37,2019-01-10 11:11:20,9.13,7957.11,True
190109-57609-AAL950,AAL950,A9D286,AA950,N732AN,B77W,Jet,SBGR,KJFK,2019-01-09 02:48:51,2019-01-09 12:00:02,9.19,7861.76,True
190109-6889-AAL9667,AAL9667,AA7BA7,AA9667,N775AN,B772,Jet,KBFM,KMIA,2019-01-09 03:12:04,2019-01-09 04:21:11,1.15,952.88,True
190114-53342-AAL988,AAL988,A1735D,AA988,N193AN,B752,Jet,SPJC,KDFW,2019-01-14 06:03:45,2019-01-14 12:42:46,6.65,5468.21,True
190113-43375-AAL996,AAL996,AAD5CA,AA996,N798AN,B772,Jet,SAEZ,KDFW,2019-01-13 00:54:03,2019-01-13 11:02:35,10.14,8814.77,True
190113-59949-AAR112,AAR112,71C078,OZ112,HL8078,A359,Jet,RKSI,RJBB,2019-01-13 23:28:17,2019-01-14 00:43:55,1.26,934.04,True
190112-34143-AAR152,AAR152,71BA48,OZ152,HL7248,B763,Jet,RKSI,RJSS,2019-01-12 06:22:58,2019-01-12 07:52:26,1.49,1300.13,True
190109-29127-AAR178,AAR178,71C060,OZ178,HL8060,A321,Jet,RKSI,RJTT,2019-01-09 13:01:31,2019-01-09 14:30:50,1.49,1356.14,True
190108-47010-AAR349,AAR349,71C278,OZ349,HL8278,A321,Jet,RKSI,ZSNJ,2019-01-08 04:26:46,2019-01-08 05:55:46,1.48,996.1,True
190113-17308-AAR362,AAR362,71BD15,OZ362,HL7515,B763,Jet,ZSPD,RKSI,2019-01-13 04:12:47,2019-01-13 05:35:23,1.38,982.69,True
190108-7973-AAR366,AAR366,71BD15,OZ366,HL7515,B763,Jet,ZSPD,RKSI,2019-01-08 08:58:22,2019-01-08 10:44:46,1.77,1031.98,True
190113-89743-AAR522,AAR522,71BD79,OZ522,HL7579,A359,Jet,EGLL,RKSI,2019-01-13 20:28:21,2019-01-14 06:39:32,10.19,9085.29,True
190108-92566-AAR522,AAR522,71C079,OZ522,HL8079,A359,Jet,EGLL,RKSI,2019-01-08 21:07:48,2019-01-09 07:38:40,10.51,9205.69,True
190110-53414-AAR626,AAR626,71BD15,OZ626,HL7515,B763,Jet,PGSN,RKSI,2019-01-10 17:10:09,2019-01-10 21:29:31,4.32,3279.16,True
190113-17598-AAR703,AAR703,71BF46,OZ703,HL7746,A333,Jet,RKSI,RPLL,2019-01-13 10:54:09,2019-01-13 14:51:14,3.95,2888.31,True
190108-47059-AAR733,AAR733,71C308,OZ733,HL8308,A359,Jet,RKSI,VVNB,2019-01-08 10:51:44,2019-01-08 15:09:13,4.29,3046.53,True
190111-21946-AAR761,AAR761,71BF95,OZ761,HL7795,A333,Jet,RKSI,WIII,2019-01-11 08:45:01,2019-01-11 15:02:15,6.29,5525.47,True
190109-760-AAR8912,AAR8912,71BD14,OZ8912,HL7514,B763,Jet,RKPC,RKSS,2019-01-09 00:13:29,2019-01-09 00:58:22,0.75,470.0,True
190107-101784-AAR8913,AAR8913,71BD06,OZ8913,HL7506,B763,Jet,RKSS,RKPC,2019-01-07 22:54:00,2019-01-07 23:30:13,0.6,472.86,True
190112-1473-AAR8927,AAR8927,71BD14,OZ8927,HL7514,B763,Jet,RKSS,RKPC,2019-01-12 02:05:53,2019-01-12 02:47:59,0.7,473.42,True
190107-1102-AAR8940,AAR8940,71BD06,OZ8940,HL7506,B763,Jet,RKPC,RKSS,2019-01-07 04:12:34,2019-01-07 04:56:40,0.74,464.31,True
190113-17316-AAR8966,AAR8966,71BD28,OZ8966,HL7528,B763,Jet,RKPC,RKSS,2019-01-13 08:11:07,2019-01-13 08:57:10,0.77,474.66,True
190111-21621-AAR8981,AAR8981,71BA47,OZ8981,HL7247,B763,Jet,RKSS,RKPC,2019-01-11 09:02:06,2019-01-11 09:46:10,0.73,472.57,True
190110-10579-AAR8983,AAR8983,71BD16,OZ8983,HL7516,B763,Jet,RKPC,RKSS,2019-01-10 09:13:16,2019-01-10 10:11:52,0.98,561.46,True
